ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
1993;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4306961;ENTRE RIOS DO SUL             ;100
1993;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4317602;SANTO ANTONIO DA PATRULHA     ;100
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3532402;NAZARE PAULISTA               ;526
1993;REGIÃO NORDESTE;BA;ÓLEO COMBUSTÍVEL;2909804;CRUZ DAS ALMAS                ;1000
1993;REGIÃO NORDESTE;BA;ÓLEO COMBUSTÍVEL;2914700;ITABERABA                     ;600
1993;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2112205;TIMON                         ;13660
1993;REGIÃO NORDESTE;RN;ÓLEO COMBUSTÍVEL;2407108;MACAIBA                       ;34580
1993;REGIÃO NORDESTE;AL;ÓLEO COMBUSTÍVEL;2708302;SAO JOSE DA LAJE              ;134840
1993;REGIÃO NORDESTE;AL;ÓLEO COMBUSTÍVEL;2708906;SATUBA                        ;163790
1993;REGIÃO SUL;SC;ÓLEO COMBUSTÍVEL;4211502;NOVA TRENTO                   ;256190
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3138003;LARANJAL                      ;10800
1993;REGIÃO CENTRO-OESTE;MT;ÓLEO COMBUSTÍVEL;5104807;JACIARA                       ;115410
1993;REGIÃO NORDESTE;SE;ÓLEO COMBUSTÍVEL;2800608;BARRA DOS COQUEIROS           ;1000
1993;REGIÃO NORDESTE;BA;ÓLEO COMBUSTÍVEL;2912104;IBICARAI                      ;13090
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3518108;GUARANTA                      ;26525
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3523004;ITAPURA                       ;327510
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3533000;NOVA GRANADA                  ;90
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3108600;BRASILIA DE MINAS             ;336
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3165604;SENADOR CORTES                ;24
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3538109;PINDORAMA                     ;3000
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3110702;CAMBUQUIRA                    ;158110
